"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","ALIAS","CATEGORY","DESCRIPTION","PLUGINFULLCLASSNAME","TYPE"
1,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","ASCII_PARSING_PLUGIN","Parser","Description : caters to ASCII Format","com.elitecore.sm.parser.model.AsciiParser","ASCII Parser"
2,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","FIXED_LENGTH_ASCII_PARSING_PLUGIN","Parser","Description : caters to fixed length ASCII format","com.elitecore.sm.parser.model.FixedLengthASCIIParser","Fixed length ASCII Parser"
3,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","DETAIL_LOCAL_PARSING_PLUGIN","Parser","Description : Detail Local parser","com.elitecore.sm.parser.model.DetailLocalParser","Detail Local Parser"
4,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","XML_PARSING_PLUGIN","Parser","Description : XML parser","com.elitecore.sm.parser.model.XMLParser","XML Parser"
5,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","SSTP_XML_PARSING_PLUGIN","Parser","Description : Collection Service collects data from network elements","com.elitecore.sm.parser.model.SstpXmlParser","SSTP XML Parser"
6,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","ASN1_PARSING_PLUGIN","Parser","Description : ASN1_PARSING_PLUGIN","com.elitecore.sm.parser.model.ASN1Parser","ASN1 Parser"
7,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","NATFLOW_PARSING_PLUGIN","Parser","Description : NATFLOW_PARSING_PLUGIN","com.elitecore.sm.parser.model.NATFlowParser","NetFlow Parser"
8,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","REGEX_PARSING_PLUGIN","Parser","Description : REGEX_PARSING_PLUGIN","com.elitecore.sm.parser.model.RegexParser","Regex Parser"
9,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","ASCII_COMPOSER_PLUGIN","Composer","Description : ASCII_COMPOSER_PLUGIN","com.elitecore.sm.composer.model.ASCIIComposer","ASCII Composer"
10,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","DETAIL_LOCAL_COMPOSER_PLUGIN","Composer","Description : DETAIL_LOCAL_COMPOSER_PLUGIN","com.elitecore.sm.composer.model.DetailLocalComposer","Detail Local Composer"
11,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","FIXED_LENGTH_ASCII_COMPOSER_PLUGIN","Composer","Description : FIXED_LENGTH_ASCII_COMPOSER_PLUGIN","com.elitecore.sm.composer.model.FixedLengthASCIIComposer","Fixed length ASCII Composer"
12,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","ASN1_COMPOSER_PLUGIN","Composer","Description : ASN1_COMPOSER_PLUGIN","com.elitecore.sm.composer.model.ASN1Composer","ASN1 Composer"
13,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","XML_COMPOSER_PLUGIN","Composer","Description : XML_COMPOSER_PLUGIN","com.elitecore.sm.composer.model.XMLComposer","XML Composer"
14,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","DEFAULT_COMPOSER_PLUGIN","Composer","Description : DEFAULT_COMPOSER_PLUGIN","com.elitecore.sm.composer.model.DummyClass","Default Composer"
