"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","ALIAS","CATEGORY","DESCRIPTION","NAME"
1,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","SERVER_INSTANCE","SERVER_INSTANCE","SERVER_INSTANCE","Server Instance"
2,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","COLLECTION_SERVICE","COLLECTION_SERVICE","COLLECTION_SERVICE","Collection Service"
3,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","DATA_CONSOLIDATION_SERVICE","DATA_CONSOLIDATION_SERVICE","DATA_CONSOLIDATION_SERVICE","Data Consolidation Service"
4,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","DISTRIBUTION_SERVICE","DISTRIBUTION_SERVICE","DISTRIBUTION_SERVICE","Distribution Service"
5,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","GTPPRIME_COLLECTION_SERVICE","GTPPRIME_COLLECTION_SERVICE","GTPPRIME_COLLECTION_SERVICE","GTP Prime Collection Service"
6,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","IPLOG_PARSING_SERVICE","IPLOG_PARSING_SERVICE","IPLOG_PARSING_SERVICE","IP Log Parsing Service"
7,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","NATFLOWBINARY_COLLECTION_SERVICE","NATFLOWBINARY_COLLECTION_SERVICE","NATFLOWBINARY_COLLECTION_SERVICE","Netflow Binary Collection Service"
8,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","NATFLOW_COLLECTION_SERVICE","NATFLOW_COLLECTION_SERVICE","NATFLOW_COLLECTION_SERVICE","Netflow Collection Service "
9,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","PARSING_SERVICE","PARSING_SERVICE","PARSING_SERVICE","Parsing Service Configuration"
10,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","PROCESSING_SERVICE","PROCESSING_SERVICE","PROCESSING_SERVICE","Processing Service Configuration"
11,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","RADIUS_COLLECTION_SERVICE","RADIUS_COLLECTION_SERVICE","RADIUS_COLLECTION_SERVICE","Radius Collection Service"
12,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","SYSLOG_COLLECTION_SERVICE","SYSLOG_COLLECTION_SERVICE","SYSLOG_COLLECTION_SERVICE","Syslog Collection Service"
13,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","GENERIC","GENERIC","GENERIC","Generic"
