"PARAMETERPOOLID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","NAME","VALUE","PARAMETERID"
3,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,"ACTIVE","Alphabetic with min 6 chars","^[^\W\d]{6,255}$",10
4,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,"ACTIVE","Alphabetic with min 8 chars","^[^\W\d]{8,255}$",10
5,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,"ACTIVE","Alphanumeric with min 6 chars","^(?=.*\d)(?=.*[^\W\d])[\w]{6,255}$",10
6,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,"ACTIVE","Alphanumeric with min 8 chars","^(?=.*\d)(?=.*[^\W\d])[\w]{8,255}$",10
7,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,"ACTIVE","Numeric with min 6 digits","^[0-9]{6,255}$",10
8,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,"ACTIVE","Numeric with min 8 digits","^[0-9]{8,255}$",10
9,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,"ACTIVE","Regular Expression","PASSWORD_TYPE_REGEX",10
10,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,"ACTIVE","Yes","true",14
11,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,"ACTIVE","No","false",14
1,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,"ACTIVE","Yes","true",6
2,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,"ACTIVE","No","false",6
